,mz,rt,ccs,intensity
2,248.9742015,88.34258169,99.22604063,
3,248.9739963,484.0578526,98.76373134,
4,248.9738592,169.9945526,98.99490499,
5,248.9738053,255.79361,98.99490607,
6,248.9738541,129.7383847,98.99490509,
7,257.9392331,16.35170194,99.85888181,
8,257.9391945,700.0351225,99.62824555,
9,257.939609,128.4332118,99.97418609,
10,257.9396099,648.408102,99.74356325,
11,257.939319,680.5024832,99.9741916,
12,257.9395316,662.354672,99.74356473,
13,257.9394713,172.0018909,99.97418871,
14,257.941,158.1466692,99.74353692,
15,257.9389686,70.67391161,99.97419825,
16,79.95790203,407.2295512,108.6802008,
17,96.96068828,407.2939392,106.3040255,
18,150.0568656,166.3002509,105.1035719,
19,248.9735435,348.062217,99.22605389,
20,248.9738731,64.14943149,99.11047598,
21,248.9737957,200.5068411,99.11047753,
22,248.9752737,462.3111785,99.22601902,
23,248.9736129,551.3099425,99.22605249,
24,248.9739194,587.8077414,98.99490377,
25,248.9738087,523.0553329,99.22604854,
26,248.9738227,288.8458442,98.99490572,
27,248.9738095,313.1035938,98.99490598,
28,248.9738209,382.0341868,99.11047703,
29,248.9739184,153.5859749,99.11047506,
30,248.973365,573.0856314,99.22605748,
31,248.9736337,508.0818885,99.22605207,
32,248.973053,19.22113863,99.11049248,
33,248.9737302,227.2911564,99.11047885,
34,248.9737296,422.5793309,98.99490759,
35,248.973664,411.3013045,98.99490891,
36,248.9737206,654.0987827,98.99490777,
37,248.9734446,642.5689909,98.99491332,
38,248.9739202,440.7555925,98.99490376,
39,248.9738101,678.3219375,98.99490597,
40,248.9739215,123.225123,99.110475,
41,248.9737019,611.2840703,98.99490815,
42,248.973694,700.7923729,99.11047958,
43,99.92641414,674.0280985,111.1513375,
44,99.92645323,19.48860549,111.1513327,
45,150.056661,30.59758782,107.1287978,
46,301.8889506,56.93646427,101.7757327,
47,93.03524989,145.2957848,113.1707088,
48,93.03524416,236.9589913,113.0460953,
49,93.03526707,103.9107303,113.1707064,
50,93.03519377,167.4432678,113.1707167,
51,93.03520027,210.4851468,113.2953302,
52,93.03523121,25.11663472,113.0460818,
53,93.03530223,83.96076375,113.2953158,
54,99.92639032,706.8287714,111.6460172,
55,99.92652783,645.8688019,110.9039398,
56,148.9534973,609.7090908,110.7620265,
57,148.9535639,76.95597336,110.6431034,
58,148.9532372,657.6830818,110.9998656,
59,98.95673304,22.32114922,115.2287537,
60,108.0223972,77.39219663,114.7692212,
61,109.0301862,23.51891054,115.0267339,
62,109.0300001,225.1293371,115.271237,
63,148.9529978,706.0782871,111.1187843,
64,148.9529892,680.6020488,110.8809756,
65,148.9529154,64.08675387,110.8809799,
66,148.9529798,194.2025585,111.1187854,
67,148.9533476,666.2435212,110.8809545,
68,148.9527427,222.6554973,110.8809901,
69,150.0569188,148.7066455,111.5293323,
70,150.9485798,23.13566118,111.4775108,
71,191.0203004,444.2774056,110.0994026,
72,78.95967933,451.572085,121.4488931,
73,78.95956941,554.670142,121.4489153,
74,123.0093819,41.31317222,114.649467,
75,144.0462688,188.2941522,112.7288206,
76,147.0327409,63.41923841,114.2067884,
77,148.9532276,22.40625001,110.8809615,
78,148.9533602,625.2761224,110.8809537,
79,148.9531019,125.7992267,110.9998736,
80,148.953429,92.09667021,110.8809497,
81,148.9534202,651.0504446,111.1187594,
82,158.9253413,480.1532739,113.0484747,
83,158.9256856,562.9315329,113.0484563,
84,158.926322,510.0620508,112.8121009,
85,158.9260591,532.3037733,113.16659,
86,158.9259301,549.6731397,113.0484433,
87,262.9892223,656.0212208,108.8439804,
88,79.95778453,172.7051521,122.7687202,
89,93.03516739,154.9393918,122.7434615,
90,94.98145986,174.0827035,119.8520443,
91,107.0511253,51.86631472,119.2815923,
92,122.0367294,120.4494356,117.2704074,
93,124.9921246,174.4819588,116.4091067,
94,125.9298438,699.7918453,116.8112215,
95,125.929256,684.8716315,116.8112711,
96,145.0622761,216.7031183,116.3519932,
97,146.02598,60.78976703,114.3886656,
98,150.0567308,181.2190021,113.9038712,
99,151.0267128,158.7854174,114.0834993,
100,158.9264049,501.6789316,113.1665716,
101,167.0218521,316.6653711,114.167015,
102,79.95804896,288.1484515,124.7915791,
103,93.03521896,192.0589666,121.9991443,
104,107.0509234,24.59247313,120.6257286,
105,116.0512839,249.1482925,119.1671151,
106,119.0509662,100.9826027,118.8748888,
107,121.0301426,191.7495602,118.8103405,
108,121.0302489,134.9717509,118.4481978,
109,121.0300193,83.7260956,118.3274883,
110,121.0302117,105.5511528,118.4482012,
111,121.0300132,41.90322211,118.9310535,
112,121.03044,214.3143774,118.4481802,
113,124.0081436,288.1449811,118.7828021,
114,125.0250662,23.53194925,117.8513291,
115,144.0462727,188.1574814,117.1319462,
116,150.0566922,214.2104366,116.2754847,
117,158.9255249,452.3115713,113.1666185,
118,158.9261982,541.6646323,113.6391101,
119,158.9267245,556.9357468,112.9302474,
120,191.0203298,517.8296653,114.9966019,
121,191.0203249,485.8678749,113.365599,
122,194.0465868,144.8472036,115.3471648,
123,199.0075715,100.1110708,114.2364813,
124,205.0359955,434.7127567,113.5651664,
125,330.9796759,657.5170902,110.9381716,
126,79.9579606,98.88994253,124.791597,
127,119.0509843,199.3786898,120.6875061,
128,124.0410146,69.7798203,120.3446253,
129,125.0369485,70.09772987,119.2942621,
130,135.0306656,304.4110793,119.6779898,
131,137.0245066,83.37986703,120.2436573,
132,150.0568948,165.6522281,118.4074726,
133,195.0516491,340.0578278,116.1233757,
134,195.0516953,366.5699823,115.0771253,
135,78.95963072,456.8959258,128.5371798,
136,78.95961117,503.750179,128.537184,
137,78.9595778,527.6076922,128.7898803,
138,93.03523786,236.4693099,125.0986275,
139,93.0352072,103.5219644,125.0986322,
140,93.035271,82.25871572,125.2225073,
141,93.03523016,146.0546386,124.9747286,
142,93.03520313,160.4150798,125.470197,
143,93.03529171,210.4740001,124.9747341,
144,96.96072139,408.4574326,125.3742703,
145,123.0457794,23.59025018,121.3972412,
146,133.029808,203.4762018,121.2665627,
147,134.0477972,96.90486132,120.5894459,
148,135.0319121,97.61378482,120.8714837,
149,136.0171807,193.7104986,120.5577491,
150,137.0076217,205.9230909,121.3174639,
151,137.0251325,188.5919692,120.2436253,
152,137.025041,138.9757008,120.4820223,
153,137.0250865,236.5514312,120.2436287,
154,137.0248399,210.416178,120.1244374,
155,137.0248583,103.0930533,120.0052263,
156,138.0025679,125.28912,120.8859932,
157,138.0025273,151.8314136,120.8859817,
158,150.0190358,119.3303916,119.59327,
159,150.05692,147.4171758,119.3542536,
160,158.926007,461.9110317,119.8892143,
161,158.9262994,513.1335866,119.7714622,
162,158.9264865,521.1891915,119.6537017,
163,165.0427717,107.7557398,117.3238559,
164,170.9882559,485.7497928,118.1996885,
165,176.9362088,556.6635484,118.971544,
166,176.9361874,479.8567593,118.7378619,
167,191.0202619,439.5595356,117.7893664,
168,108.0210697,209.308438,125.3888691,
169,127.0519965,216.2560934,124.3988131,
170,135.0458125,196.8973603,122.6594129,
171,135.0319012,127.5170785,122.5412849,
172,136.9373371,590.3194141,122.513818,
173,136.9375976,647.6033151,122.6328544,
174,136.937394,703.9056684,122.6328844,
175,136.9375881,628.2313471,122.7519257,
176,138.0236886,251.6067835,123.5025565,
177,139.0075807,198.1887226,121.764131,
178,147.0307137,374.2954954,123.0994078,
179,149.0097217,394.3868875,118.8281886,
180,150.0566435,174.3342662,119.1175716,
181,151.0267414,209.3928274,121.6577551,
182,151.0272711,230.690676,121.4214741,
183,153.0197323,192.3928653,121.5337442,
184,154.9477829,594.7881756,121.1809423,
185,154.9478087,647.1159312,121.2988305,
186,154.9483549,707.2229832,121.6524384,
187,154.9476876,691.1856327,121.180948,
188,154.9477175,671.2599343,121.1809462,
189,156.9275913,408.646262,120.7104858,
190,156.9374149,584.3271379,120.3564725,
191,158.9257947,497.1018867,120.0069619,
192,172.9920471,24.63368076,120.2095982,
193,174.9379969,409.7066315,119.6489021,
